iter	Logloss
0	0.6706666565
1	0.6579144287
2	0.6447788239
3	0.6325268173
4	0.6208222961
5	0.6090565491
6	0.5894853973
7	0.5766789627
8	0.5644822693
9	0.5535512543
10	0.5435270691
11	0.5253916931
12	0.5103631592
13	0.4964151001
14	0.479772644
15	0.463877182
16	0.4528886414
17	0.4455493164
18	0.4381441498
19	0.4310995102
20	0.4175126648
21	0.4083696747
22	0.4017627716
23	0.3905534363
24	0.3816921234
25	0.3759593964
26	0.3702348709
27	0.3647430038
28	0.3590492249
29	0.3496930695
30	0.3399926758
31	0.3307839203
32	0.321101532
33	0.3161687088
34	0.3117756653
35	0.3075684166
36	0.3017132187
37	0.2953489685
38	0.2873409653
39	0.2811863136
40	0.2769591331
41	0.2680194092
42	0.2608911133
43	0.2535822105
44	0.2507021332
45	0.2451708031
46	0.2376963043
47	0.2315200424
48	0.2289041901
49	0.2229693031
50	0.2174057388
51	0.2141542244
52	0.2077431679
53	0.2019733047
54	0.1999127007
55	0.1977333069
56	0.1907088852
57	0.1850696182
58	0.1795483589
59	0.1743224525
60	0.1704150391
61	0.1646179199
62	0.1598365784
63	0.1583725739
64	0.1540864944
65	0.1499793434
66	0.1455120564
67	0.1408141518
68	0.1378610802
69	0.1355634403
70	0.1313280964
71	0.1291534424
72	0.1259108353
73	0.1225051498
74	0.1198708725
75	0.1173688602
76	0.114441452
77	0.1111206627
78	0.1086902523
79	0.1059115887
80	0.1038578606
81	0.1008532047
82	0.09787006378
83	0.09584993362
84	0.09426603317
85	0.09161872864
86	0.09080192566
87	0.08880239487
88	0.08771902084
89	0.08648086548
90	0.08442361832
91	0.08246432304
92	0.08184177399
93	0.08009300232
94	0.07808885574
95	0.07609202385
96	0.07445105553
97	0.07296569347
98	0.07167312622
99	0.06999249458
100	0.06920349598
101	0.06757888794
102	0.06587820053
103	0.06556022167
104	0.06448279381
105	0.06302545547
106	0.06173445702
107	0.06045865059
108	0.05890416145
109	0.05782181263
110	0.05748839378
111	0.05619415283
112	0.05507784843
113	0.05382985592
114	0.05292561531
115	0.0526984787
116	0.05143632889
117	0.0506175518
118	0.04945084095
119	0.0484170723
120	0.04728971958
121	0.04670659065
122	0.04590249062
123	0.04566315651
124	0.04459020615
125	0.04392956257
126	0.04324848175
127	0.04227966309
128	0.04206708908
129	0.04124854088
130	0.04109675884
131	0.04021682739
132	0.03999379635
133	0.03908182621
134	0.03843128681
135	0.03780654907
136	0.03700781345
137	0.03637776375
138	0.03563812733
139	0.03552905798
140	0.03499983788
141	0.03450385094
142	0.0338899374
143	0.03372577906
144	0.03326192856
145	0.03265749454
146	0.03206052542
147	0.03145496368
148	0.03103453159
149	0.0304493475
150	0.03037075043
151	0.02987125635
152	0.02936892033
153	0.02897533417
154	0.0287547493
155	0.02829721451
156	0.02789520741
157	0.02739372253
158	0.02730080605
159	0.02684261322
160	0.02644824505
161	0.02635706663
162	0.02627965927
163	0.0258141923
164	0.02544804573
165	0.02536987305
166	0.02531073093
167	0.02482095242
168	0.02474421263
169	0.02440195799
170	0.02432753563
171	0.02390977859
172	0.02384577513
173	0.02350195885
174	0.02316072702
175	0.02283607483
176	0.02275612354
177	0.02260805368
178	0.02223112106
179	0.02192703247
180	0.02170257568
181	0.02141518593
182	0.02136664629
183	0.02107281923
184	0.02076231003
185	0.02070683002
186	0.02040158749
187	0.02008443832
188	0.01973789215
189	0.01943850875
190	0.01918874979
191	0.01889920354
192	0.01884927034
193	0.01868585587
194	0.01864832401
195	0.01839221597
196	0.01813875794
197	0.01809900403
198	0.01788071871
199	0.01764607906
200	0.01737404346
201	0.01732334137
202	0.01711182833
203	0.01707984686
204	0.01703769326
205	0.01699978232
206	0.01677759409
207	0.01674414635
208	0.01647665024
209	0.01620754004
210	0.01616790533
211	0.01614384651
212	0.01591406345
213	0.01588959932
214	0.01586180091
215	0.01566152334
216	0.01563083649
217	0.01537643909
218	0.01523727059
219	0.0152097249
220	0.01518120408
221	0.01514984608
222	0.01510989308
223	0.01507608175
224	0.01492178082
225	0.01489328146
226	0.01486376762
227	0.0146695435
228	0.01464728236
229	0.01462435246
230	0.01439458132
231	0.01424568415
232	0.01408086538
233	0.01395609975
234	0.0139381814
235	0.01382867813
236	0.01364162445
237	0.01362166643
238	0.01345004797
239	0.01343127966
240	0.01325523376
241	0.01312011719
242	0.01310325742
243	0.01307402849
244	0.01304926395
245	0.01294656992
246	0.01286123514
247	0.01272790432
248	0.01271184087
249	0.01268446684
250	0.01256358743
251	0.01240335584
252	0.01237535238
253	0.01235577106
254	0.01233865261
255	0.01223693609
