iter	RMSE
0	0.1999452272
1	0.194313001
2	0.1896556013
3	0.1842667896
4	0.1789313978
5	0.1747606899
6	0.1707430878
7	0.1661119835
8	0.1617523738
9	0.157948615
10	0.1539228723
11	0.1501757189
12	0.1461349742
13	0.1423352288
14	0.1390403585
15	0.1348132987
16	0.131548943
17	0.1282480186
18	0.1250785474
19	0.1223120679
20	0.12007663
21	0.1168611304
22	0.11418643
23	0.1109669744
24	0.107671995
25	0.1046170774
26	0.1021083698
27	0.09907544748
28	0.0969639004
29	0.09459650793
30	0.0921123811
31	0.08959556141
32	0.08733915445
33	0.0853554461
34	0.08308168733
35	0.08112070816
36	0.07917088432
37	0.07755264855
38	0.07610172707
39	0.07425247312
40	0.07250046359
41	0.07073817061
42	0.06923025975
43	0.06765426914
44	0.06579050761
45	0.06423170383
46	0.06289146826
47	0.06135380825
48	0.06017513246
49	0.0589287749
50	0.05773256324
51	0.05664042569
52	0.05516992267
53	0.05410542961
54	0.05293729958
55	0.05182680821
56	0.05075111452
57	0.04964545221
58	0.04944735345
59	0.04822049353
60	0.04804678351
61	0.04719948375
62	0.04611241384
63	0.04594858165
64	0.04511978489
65	0.04397914033
66	0.04343527522
67	0.04235228613
68	0.04133840305
69	0.04032329426
70	0.04009519436
71	0.03935841197
72	0.03859891835
73	0.03848107998
74	0.0378197681
75	0.0369861053
76	0.03626958426
77	0.0354488442
78	0.03509269781
79	0.03492175782
80	0.03478696124
81	0.03459445678
82	0.03442321946
83	0.03432108919
84	0.03421576005
85	0.03382059228
86	0.03303416217
87	0.03293442165
88	0.03272582243
89	0.03262233867
90	0.03251084756
91	0.03234837126
92	0.03226400003
93	0.03215910219
94	0.03205285503
95	0.03194481632
96	0.03176818064
97	0.03166687329
98	0.03157566808
99	0.03147921047
100	0.03133468914
101	0.03117584414
102	0.03067846011
103	0.03056530158
104	0.0304378957
105	0.0298726651
106	0.02940278297
107	0.02890284908
108	0.02881947479
109	0.0287298189
110	0.0281709353
111	0.02808565744
