iter	Passed	Remaining
229	3120	10447
230	3131	10423
231	3142	10402
232	3153	10380
233	3164	10358
234	3176	10340
235	3188	10322
236	3200	10303
237	3213	10287
238	3227	10275
239	3238	10255
240	3250	10237
241	3262	10218
242	3274	10200
243	3287	10184
244	3298	10163
245	3309	10144
246	3321	10127
247	3335	10114
248	3346	10094
249	3359	10079
250	3373	10066
251	3385	10048
252	3398	10034
253	3409	10015
254	3421	9995
255	3434	9980
256	3446	9963
257	3457	9944
258	3469	9926
259	3481	9907
260	3492	9889
261	3504	9870
262	3514	9849
263	3525	9827
264	3536	9807
265	3546	9785
266	3555	9762
267	3565	9738
268	3577	9721
269	3588	9701
270	3600	9684
271	3610	9664
272	3622	9647
273	3636	9635
274	3648	9618
275	3660	9601
276	3672	9586
277	3685	9572
278	3698	9559
279	3713	9548
280	3727	9537
281	3739	9521
282	3752	9506
283	3763	9488
284	3776	9474
285	3789	9459
286	3802	9445
287	3813	9427
288	3825	9412
289	3838	9396
290	3849	9380
291	3861	9362
292	3872	9344
293	3884	9327
294	3895	9309
295	3907	9293
296	3918	9275
297	3931	9262
298	3943	9245
299	3955	9229
300	3966	9211
301	3977	9193
302	3987	9173
303	3997	9152
304	4006	9130
305	4016	9109
306	4027	9091
307	4037	9072
308	4047	9051
309	4057	9031
310	4067	9010
311	4078	8993
312	4088	8974
313	4098	8954
314	4110	8937
315	4121	8920
316	4130	8899
317	4141	8882
318	4152	8865
319	4164	8848
320	4174	8831
321	4185	8812
322	4196	8796
323	4208	8780
324	4220	8766
325	4233	8753
326	4244	8736
327	4257	8722
328	4269	8707
329	4280	8690
330	4292	8675
331	4302	8657
332	4314	8641
333	4324	8623
334	4337	8610
335	4350	8598
336	4362	8583
337	4376	8572
338	4388	8557
339	4400	8542
340	4411	8525
341	4422	8509
342	4434	8494
343	4446	8478
344	4456	8460
345	4466	8442
346	4476	8424
347	4487	8407
348	4498	8390
349	4508	8373
350	4520	8357
351	4532	8344
352	4543	8326
353	4554	8311
354	4566	8296
355	4578	8283
356	4590	8267
357	4603	8255
358	4615	8240
359	4627	8227
360	4639	8212
361	4651	8198
362	4663	8183
363	4674	8167
364	4685	8152
365	4696	8135
366	4705	8116
367	4716	8099
368	4726	8082
369	4737	8066
370	4748	8050
371	4758	8032
372	4768	8015
373	4780	8001
374	4791	7986
375	4801	7968
376	4812	7952
377	4822	7936
378	4833	7920
379	4843	7903
380	4854	7887
381	4866	7872
382	4877	7857
383	4888	7841
384	4899	7825
385	4911	7812
386	4923	7799
387	4934	7783
388	4946	7769
389	4958	7756
390	4969	7740
391	4981	7725
392	4992	7710
393	5002	7693
394	5012	7677
395	5023	7661
396	5033	7645
397	5044	7629
398	5055	7614
399	5066	7599
400	5076	7583
401	5087	7567
402	5097	7550
403	5107	7535
404	5118	7519
405	5128	7503
406	5138	7486
407	5147	7468
408	5157	7453
409	5168	7437
410	5177	7419
411	5186	7402
412	5196	7385
413	5207	7371
414	5218	7356
415	5228	7340
416	5239	7325
417	5250	7310
418	5260	7294
419	5271	7280
420	5284	7267
421	5296	7254
422	5307	7239
423	5319	7225
424	5330	7212
425	5342	7198
426	5354	7185
427	5366	7171
428	5375	7155
429	5386	7139
430	5396	7124
431	5406	7108
432	5416	7092
433	5425	7076
434	5436	7060
435	5445	7044
436	5455	7027
437	5466	7013
438	5478	7001
439	5492	6990
440	5506	6980
441	5520	6969
442	5532	6956
443	5544	6943
444	5555	6928
445	5568	6916
446	5579	6902
447	5592	6890
448	5603	6876
449	5615	6863
450	5628	6851
451	5637	6835
452	5648	6821
453	5658	6805
454	5668	6789
455	5678	6773
456	5688	6758
457	5699	6744
458	5709	6729
459	5719	6714
460	5731	6700
461	5743	6688
462	5752	6672
463	5762	6657
464	5773	6642
465	5782	6626
466	5794	6613
467	5804	6598
468	5815	6584
469	5825	6569
470	5835	6554
471	5846	6539
472	5856	6524
473	5866	6510
474	5877	6495
475	5888	6482
476	5899	6468
477	5910	6454
478	5921	6440
479	5932	6426
480	5944	6414
481	5956	6401
482	5968	6388
483	5978	6373
484	5989	6360
485	6001	6347
486	6012	6333
487	6025	6322
488	6038	6310
489	6049	6296
490	6060	6282
491	6072	6270
492	6084	6257
493	6094	6242
494	6105	6228
495	6115	6214
496	6126	6200
497	6136	6185
498	6145	6170
499	6156	6156
500	6167	6142
501	6177	6128
502	6188	6114
503	6200	6101
504	6211	6088
505	6228	6080
506	6242	6070
507	6253	6056
508	6264	6042
509	6275	6029
510	6289	6018
511	6301	6006
512	6315	5995
513	6327	5982
514	6338	5969
515	6349	5956
516	6361	5943
517	6371	5928
518	6382	5914
519	6392	5900
520	6402	5886
521	6413	5872
522	6423	5858
523	6434	5845
524	6445	5831
525	6455	5817
526	6466	5804
527	6476	5789
528	6486	5775
529	6497	5761
530	6507	5747
531	6517	5733
532	6528	5720
533	6539	5707
534	6551	5694
535	6561	5680
536	6571	5666
537	6582	5652
538	6592	5638
539	6603	5625
540	6615	5612
541	6626	5599
542	6637	5585
543	6648	5572
544	6658	5559
545	6668	5545
546	6679	5531
547	6689	5517
548	6700	5504
549	6713	5493
550	6725	5480
551	6737	5467
552	6749	5455
553	6760	5442
554	6771	5429
555	6781	5415
556	6791	5401
557	6802	5388
558	6812	5374
559	6823	5361
560	6832	5346
561	6844	5334
562	6857	5322
563	6868	5309
564	6877	5295
565	6889	5282
566	6898	5268
567	6910	5255
568	6920	5241
569	6931	5228
570	6941	5215
571	6952	5202
572	6962	5188
573	6973	5175
574	6984	5162
575	6994	5148
576	7005	5135
577	7015	5122
578	7025	5108
579	7037	5095
580	7049	5084
581	7059	5069
582	7071	5057
583	7082	5045
584	7092	5031
585	7103	5018
586	7112	5004
587	7122	4990
588	7133	4977
589	7143	4963
590	7155	4951
591	7165	4938
592	7175	4924
593	7185	4911
594	7198	4900
595	7209	4887
596	7221	4874
597	7232	4862
598	7243	4849
599	7255	4837
600	7267	4824
601	7279	4812
602	7291	4800
603	7302	4787
604	7314	4775
605	7325	4762
606	7337	4750
607	7349	4738
608	7361	4726
609	7371	4712
610	7382	4700
611	7394	4687
612	7404	4674
613	7415	4661
614	7425	4648
615	7434	4634
616	7444	4620
617	7454	4607
618	7464	4594
619	7474	4581
620	7484	4567
621	7495	4554
622	7504	4541
623	7514	4528
624	7525	4515
625	7535	4502
626	7546	4489
627	7557	4476
628	7567	4463
629	7587	4455
630	7599	4443
631	7610	4431
632	7621	4418
633	7631	4405
634	7642	4392
635	7653	4380
636	7663	4366
637	7674	4354
638	7684	4341
639	7695	4328
640	7705	4315
641	7715	4302
642	7726	4289
643	7736	4276
644	7747	4264
645	7757	4250
646	7767	4237
647	7777	4224
648	7786	4211
649	7795	4197
650	7805	4184
651	7815	4171
652	7824	4158
653	7835	4145
654	7844	4132
655	7855	4119
656	7865	4106
657	7875	4093
658	7885	4080
659	7895	4067
660	7905	4054
661	7916	4041
662	7925	4028
663	7937	4016
664	7960	4009
665	7973	3998
666	7987	3987
667	7998	3975
668	8008	3962
669	8022	3951
670	8034	3939
671	8044	3926
672	8057	3915
673	8068	3902
674	8080	3890
675	8090	3877
676	8100	3864
677	8110	3851
678	8120	3838
679	8130	3826
680	8140	3813
681	8150	3800
682	8161	3788
683	8173	3775
684	8185	3763
685	8195	3751
686	8205	3738
687	8216	3726
688	8228	3713
689	8238	3701
690	8249	3688
691	8260	3676
692	8270	3663
693	8281	3651
694	8291	3638
695	8302	3626
696	8312	3613
697	8323	3601
698	8334	3588
699	8346	3577
700	8357	3564
701	8367	3552
702	8379	3540
703	8390	3527
704	8402	3516
705	8414	3504
706	8425	3491
707	8437	3479
708	8449	3467
709	8460	3455
710	8470	3443
711	8481	3430
712	8493	3418
713	8504	3406
714	8518	3395
715	8531	3384
716	8543	3372
717	8553	3359
718	8563	3346
719	8575	3334
720	8584	3322
721	8595	3309
722	8605	3296
723	8614	3284
724	8624	3271
725	8635	3259
726	8645	3246
727	8656	3234
728	8667	3221
729	8678	3209
730	8691	3198
731	8703	3186
732	8713	3173
733	8725	3162
734	8736	3150
735	8747	3137
736	8759	3125
737	8771	3113
738	8782	3101
739	8793	3089
740	8804	3077
741	8816	3065
742	8827	3053
743	8837	3040
744	8848	3028
745	8858	3016
746	8869	3003
747	8879	2991
748	8889	2979
749	8900	2966
750	8911	2954
751	8922	2942
752	8933	2930
753	8943	2917
754	8954	2905
755	8964	2893
756	8975	2881
757	8989	2869
758	9001	2858
759	9014	2846
760	9026	2834
761	9037	2822
762	9047	2810
763	9057	2797
764	9067	2785
765	9077	2773
766	9088	2760
767	9100	2749
768	9110	2736
769	9121	2724
770	9132	2712
771	9143	2700
772	9153	2688
773	9165	2676
774	9176	2664
775	9187	2651
776	9198	2639
777	9209	2627
778	9219	2615
779	9231	2603
780	9243	2591
781	9253	2579
782	9264	2567
783	9277	2555
784	9287	2543
785	9297	2531
786	9307	2519
787	9318	2506
788	9328	2494
789	9338	2482
790	9348	2470
791	9359	2457
792	9369	2445
793	9380	2433
794	9391	2421
795	9401	2409
796	9412	2397
797	9423	2385
798	9433	2373
799	9445	2361
800	9455	2349
801	9466	2337
802	9478	2325
803	9490	2313
804	9503	2302
805	9515	2290
806	9531	2279
807	9543	2267
808	9555	2255
809	9566	2243
810	9578	2232
811	9590	2220
812	9601	2208
813	9613	2196
814	9624	2184
815	9635	2172
816	9646	2160
817	9657	2148
818	9669	2136
819	9681	2125
820	9691	2113
821	9702	2100
822	9711	2088
823	9722	2076
824	9732	2064
825	9743	2052
826	9754	2040
827	9764	2028
828	9775	2016
829	9785	2004
830	9795	1992
831	9806	1980
832	9817	1968
833	9827	1956
834	9838	1944
835	9849	1932
836	9859	1920
837	9869	1907
838	9880	1896
839	9890	1883
840	9899	1871
841	9909	1859
842	9919	1847
843	9929	1835
844	9939	1823
845	9949	1811
846	9959	1798
847	9969	1786
848	9979	1774
849	9989	1762
850	10000	1750
851	10009	1738
852	10021	1726
853	10031	1715
854	10042	1703
855	10053	1691
856	10064	1679
857	10075	1667
858	10085	1655
859	10097	1643
860	10107	1631
861	10118	1619
862	10128	1607
863	10138	1595
864	10149	1584
865	10160	1572
866	10170	1560
867	10180	1548
868	10190	1536
869	10199	1524
870	10209	1512
871	10218	1499
872	10228	1488
873	10240	1476
874	10250	1464
875	10262	1452
876	10272	1440
877	10282	1428
878	10291	1416
879	10301	1404
880	10313	1393
881	10325	1381
882	10335	1369
883	10347	1357
884	10358	1346
885	10368	1334
886	10380	1322
887	10391	1310
888	10400	1298
889	10411	1286
890	10422	1275
891	10432	1263
892	10442	1251
893	10454	1239
894	10465	1227
895	10476	1216
896	10486	1204
897	10495	1192
898	10506	1180
899	10515	1168
900	10525	1156
901	10535	1144
902	10545	1132
903	10555	1120
904	10565	1109
905	10576	1097
906	10586	1085
907	10596	1073
908	10606	1061
909	10616	1049
910	10625	1038
911	10637	1026
912	10647	1014
913	10658	1002
914	10670	991
915	10681	979
916	10691	967
917	10701	955
918	10712	944
919	10724	932
920	10734	920
921	10745	909
922	10756	897
923	10767	885
924	10777	873
925	10787	862
926	10798	850
927	10808	838
928	10819	826
929	10829	815
930	10840	803
931	10850	791
932	10860	779
933	10870	768
934	10882	756
935	10892	744
936	10902	733
937	10913	721
938	10923	709
939	10933	697
940	10942	686
941	10953	674
942	10963	662
943	10974	651
944	10985	639
945	10996	627
946	11007	616
947	11018	604
948	11030	592
949	11040	581
950	11052	569
951	11062	557
952	11073	546
953	11084	534
954	11095	522
955	11106	511
956	11119	499
957	11130	487
958	11141	476
959	11151	464
960	11162	453
961	11173	441
962	11184	429
963	11194	418
964	11206	406
965	11216	394
966	11227	383
967	11239	371
968	11250	359
969	11261	348
970	11272	336
971	11282	325
972	11294	313
973	11304	301
974	11315	290
975	11325	278
976	11337	266
977	11347	255
978	11358	243
979	11368	232
980	11379	220
981	11389	208
982	11398	197
983	11408	185
984	11418	173
985	11427	162
986	11437	150
987	11447	139
988	11457	127
989	11468	115
990	11477	104
991	11488	92
992	11497	81
993	11508	69
994	11518	57
995	11528	46
996	11538	34
997	11549	23
998	11559	11
999	11570	0
